,t,x0,x1,x2,x3,u0,u1,u2,side
185,1634125297.7693555,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
186,1634125297.78136,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
187,1634125297.7933643,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
188,1634125297.805369,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
189,1634125297.8173594,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
190,1634125297.8293602,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
191,1634125297.8413615,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
192,1634125297.853357,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
193,1634125297.8653595,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
194,1634125297.8773618,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
195,1634125297.8893623,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
196,1634125297.9013593,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
197,1634125297.913365,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
198,1634125297.9253628,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
199,1634125297.9373653,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
200,1634125297.9493618,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
201,1634125297.9613671,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
202,1634125297.9733596,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
203,1634125297.9853575,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
204,1634125297.997365,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
205,1634125298.0093582,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
206,1634125298.0213664,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
